,Country,Average Monthly Net Salary (After Tax),Internet Price (USD),Percentage of Internet on Income (%)
37,Nigeria,183.05,40.56,22.157880360557225
95,Uzbekistan,237.79,40.04,16.838386811892846
64,Algeria,266.71,43.0,16.122380113231603
94,Philippines,310.61,48.31,15.553266153697562
8,Guatemala,500.14,73.06,14.607909785260128
99,Dominican Republic,343.28,48.72,14.192495921696574
76,Honduras,505.49,63.74,12.609547172050881
62,El Salvador,364.74,43.84,12.019520754510063
44,Kenya,389.79,46.79,12.003899535647399
80,Bolivia,525.19,58.43,11.125497439022066
96,Bangladesh,283.34,31.36,11.067974871179501
102,Indonesia,309.81,31.74,10.244988864142538
66,Colombia,311.02,28.84,9.272715580991576
85,Pakistan,219.1,20.31,9.269739844819716
1,Paraguay,343.43,28.12,8.187985906880588
67,Ecuador,507.22,41.34,8.150309530381294
11,Nepal,209.12,16.74,8.00497322111706
25,Peru,430.11,34.17,7.944479319243915
79,Egypt,221.86,17.52,7.8968719011989545
6,Morocco,451.79,34.84,7.711547400340867
30,Costa Rica,773.82,54.44,7.035227830761675
35,Jordan,640.28,44.93,7.017242456425314
40,Sri Lanka,262.76,17.94,6.827523215101233
9,Iraq,588.19,40.09,6.815824818511025
46,Palestine,791.25,49.74,6.286255924170617
38,Tunisia,299.92,18.64,6.214990664177114
63,Brazil,349.15,21.18,6.066160675927252
5,Iran,346.45,20.86,6.02107086159619
48,Lebanon,882.12,52.76,5.981045662721625
7,Panama,753.94,44.56,5.910284638034857
74,Trinidad And Tobago,878.17,49.69,5.658357721170161
12,Argentina,440.6,24.89,5.6491148433953695
49,Azerbaijan,319.98,17.85,5.578473654603413
24,Jamaica,656.51,36.01,5.48506496473778
10,Chile,631.57,33.87,5.362825973367955
41,Uruguay,614.19,31.47,5.123821618717335
73,Albania,400.59,20.52,5.1224443945180855
100,Mexico,507.69,25.99,5.119265693631941
59,Armenia,348.86,17.21,4.933211030212693
23,Georgia,291.82,14.35,4.917414844767323
101,Montenegro,576.22,28.25,4.902641352261289
22,South Africa,1277.65,60.46,4.732125386451688
57,Oman,1732.44,80.09,4.622959525293805
58,Bosnia And Herzegovina,579.83,26.13,4.50649328251384
21,North Macedonia,393.88,17.57,4.460749466842693
3,Greece,874.61,37.72,4.3127794102514265
92,Serbia,528.33,22.76,4.307913614596937
14,Bahrain,1417.97,56.7,3.9986741609483984
83,Saudi Arabia,1681.57,65.92,3.920146053985264
2,Portugal,1020.5,38.8,3.802057814796668
43,United Arab Emirates,2645.64,98.46,3.7215947747992923
55,Malaysia,859.79,31.34,3.6450761232393956
29,Thailand,629.82,22.67,3.599441110158458
39,Croatia,909.92,31.32,3.4420608405134523
17,Turkey,381.27,13.12,3.441130957064548
54,Cyprus,1375.77,45.83,3.3312254228541107
71,Moldova,316.83,10.0,3.156266767667203
47,Spain,1573.62,47.9,3.0439369098003333
65,Slovenia,1334.27,40.19,3.0121339758819428
81,Malta,1347.94,40.57,3.0097778832885735
68,Kosovo (Disputed Territory),469.95,13.62,2.898180657516757
72,Belarus,398.88,11.55,2.8956077015643804
0,Kazakhstan,419.24,11.28,2.6905829596412554
88,Qatar,3294.74,86.9,2.6375374081111107
32,Vietnam,425.78,10.93,2.5670534078632157
15,India,445.94,11.01,2.4689420101358928
16,Canada,2481.25,59.51,2.3983879093198994
18,Belgium,2417.52,55.41,2.2920182666534297
56,Iceland,2951.23,65.2,2.209248347299262
87,Ireland,2807.56,59.39,2.11535995668837
53,Estonia,1347.9,27.68,2.0535648045107204
75,New Zealand,2829.89,57.84,2.043895699126115
77,Italy,1709.18,34.34,2.009150586831112
4,Latvia,929.11,18.63,2.0051447083768337
34,Bulgaria,635.39,12.49,1.9657218401296843
89,Slovakia,1010.11,18.66,1.8473235588203265
28,United States,3559.46,65.28,1.8339860540643806
69,Hungary,818.87,14.87,1.8159170564314238
20,Taiwan,1410.58,25.58,1.8134384437607225
50,Czech Republic,1165.26,20.56,1.7644130923570704
70,Japan,2701.88,46.1,1.7062193731771953
97,Norway,3330.01,55.54,1.6678628592706926
33,Poland,867.29,14.23,1.6407430040701498
42,United Kingdom,2543.13,41.37,1.6267355581507825
84,Netherlands,2932.35,47.02,1.6034920797312737
52,Australia,3523.47,54.92,1.5586907224979922
60,Austria,2443.46,38.07,1.5580365547215833
36,Kuwait,1788.65,26.95,1.506722947474352
82,Russia,440.97,6.45,1.4626845363630179
86,China,1018.16,14.79,1.4526204132945706
13,Ukraine,345.3,4.93,1.427743990732696
26,Germany,2806.8,38.43,1.3691748610517314
93,Romania,673.24,9.1,1.3516725090606618
90,France,2421.63,32.59,1.3457877545289745
91,Lithuania,1006.36,12.8,1.2719106482769587
31,Sweden,2925.03,34.59,1.1825519738259096
51,Israel,2521.65,28.1,1.1143497313267108
98,Denmark,3643.7,39.56,1.0857095809204929
45,Switzerland,6182.8,64.7,1.0464514459468202
61,South Korea,2435.82,24.95,1.0242957197165634
19,Finland,2852.88,28.85,1.0112587981268053
78,Singapore,3776.62,34.13,0.9037181395004
27,Hong Kong,2911.46,23.8,0.817459281597549
